date,fd_offset,division,lineage,count
2021-10-15,-78,Florida,21J,156
2021-11-01,-61,California,21A,12
2021-12-10,-22,New Jersey,21K,19
2021-11-19,-43,Illinois,21A,1
2021-12-06,-26,Hawaii,21J,1
2021-10-24,-69,Indiana,21I,6
2021-12-10,-22,South Carolina,21J,11
2021-11-15,-47,North Carolina,21J,78
2021-11-16,-46,Colorado,other,4
2021-11-22,-40,Maryland,other,1
2021-12-17,-15,Illinois,other,1
2021-12-09,-23,Minnesota,21K,21
2021-11-04,-58,New Mexico,21I,12
2021-11-03,-59,Michigan,21I,11
2021-12-05,-27,Alabama,21J,1
2021-10-12,-81,Georgia,21J,100
2021-10-10,-83,Delaware,21I,1
2021-11-03,-59,South Dakota,21J,11
2021-10-25,-68,California,21J,1120
2021-11-17,-45,Massachusetts,21A,2
2021-10-07,-86,Maryland,21I,10
2021-12-01,-31,Vermont,21I,3
2021-12-15,-17,West Virginia,21I,3
2021-12-08,-24,Nebraska,21J,13
2021-11-22,-40,Ohio,other,2
2021-12-16,-16,Texas,other,2
2021-11-01,-61,North Dakota,21I,2
2021-10-11,-82,Pennsylvania,21A,3
2021-12-16,-16,Kentucky,21J,10
2021-11-11,-51,Minnesota,21A,1
2021-12-13,-19,Mississippi,21K,1
2021-11-06,-56,New York,other,2
2021-12-02,-30,Oregon,21J,25
2021-10-10,-83,Tennessee,21I,5
2021-12-13,-19,Massachusetts,21A,1
2021-10-31,-62,Hawaii,21A,1
2021-10-11,-82,Puerto Rico,21J,8
2021-12-15,-17,Michigan,21I,1
2021-11-10,-52,Kentucky,21I,5
2021-12-13,-19,New Jersey,21K,32
2021-10-24,-69,New Mexico,other,1
2021-11-01,-61,Oklahoma,21J,23
2021-10-24,-69,Georgia,other,1
2021-10-10,-83,Washington,21A,1
2021-11-22,-40,Colorado,21J,153
2021-11-29,-33,Ohio,21J,188
2021-10-21,-72,Delaware,21J,16
2021-10-11,-82,Oregon,21I,6
2021-12-11,-21,Arkansas,21J,5
2021-11-07,-55,Michigan,21J,347
2021-10-15,-78,North Carolina,21I,7
2021-11-30,-32,Washington,21A,1
2021-10-27,-66,Maryland,21I,8
2021-12-15,-17,Tennessee,21J,48
2021-11-29,-33,Missouri,21I,1
2021-11-11,-51,Kentucky,21J,37
2021-11-16,-46,Michigan,21J,475
2021-11-29,-33,Colorado,21A,5
2021-12-04,-28,Florida,21J,78
2021-11-08,-54,California,21I,35
2021-10-09,-84,Mississippi,21J,6
2021-10-28,-65,Ohio,other,1
2021-12-25,-7,Arizona,21J,6
2021-10-26,-67,New York,21J,70
2021-12-10,-22,Pennsylvania,21J,121
2021-11-26,-36,Vermont,21I,3
2021-10-06,-87,New Mexico,21J,110
2021-11-16,-46,Oregon,21J,51
2021-12-16,-16,Alaska,21J,1
2021-12-08,-24,Virginia,21K,4
2021-12-02,-30,Maine,21A,0
2021-11-22,-40,Nevada,other,2
2021-12-14,-18,Vermont,21A,1
2021-10-03,-90,Idaho,21I,2
2021-10-31,-62,Alabama,21J,4
2021-12-18,-14,California,21A,1
2021-10-15,-78,Illinois,other,2
2021-11-11,-51,Mississippi,21J,7
2021-10-25,-68,Nevada,21I,4
2021-12-17,-15,Idaho,21J,9
2021-11-07,-55,Pennsylvania,21J,136
2021-11-08,-54,Iowa,other,2
2021-11-05,-57,Missouri,21I,4
2021-12-15,-17,New York,21J,45
2021-11-21,-41,Illinois,other,4
2021-10-11,-82,Louisiana,21I,1
2021-10-22,-71,Louisiana,21I,1
2021-10-25,-68,Maryland,21J,82
2021-10-18,-75,New Mexico,21I,4
2021-12-11,-21,Alabama,21J,4
2021-10-11,-82,Delaware,21I,2
2021-11-06,-56,Florida,21J,103
2021-10-23,-70,Montana,21J,10
2021-11-17,-45,Tennessee,21I,3
2021-10-30,-63,New Mexico,21A,1
2021-12-11,-21,West Virginia,21I,1
2021-10-30,-63,South Carolina,21J,24
2021-10-18,-75,Massachusetts,21I,16
2021-10-17,-76,Ohio,other,2
2021-12-02,-30,Delaware,21J,19
2021-12-18,-14,Michigan,21K,2
2021-10-14,-79,Virginia,21J,95
2021-11-18,-44,Louisiana,21I,1
2021-12-11,-21,Louisiana,21K,10
2021-10-25,-68,Michigan,21J,335
2021-11-14,-48,New Mexico,21A,1
2021-10-25,-68,New Jersey,21A,1
2021-10-14,-79,South Carolina,21I,12
2021-10-04,-89,Vermont,21I,2
2021-12-03,-29,New Hampshire,21K,2
2021-10-26,-67,Nevada,21I,2
2021-12-09,-23,New Jersey,21A,1
2021-10-20,-73,Colorado,21I,9
2021-11-02,-60,Massachusetts,21I,20
2021-10-28,-65,West Virginia,21J,84
2021-10-30,-63,California,21I,39
2021-10-19,-74,Georgia,21J,87
2021-10-19,-74,North Dakota,21J,5
2021-11-19,-43,Maine,21J,0
2021-10-30,-63,Delaware,21J,5
2021-12-01,-31,Pennsylvania,21K,2
2021-10-08,-85,Massachusetts,other,2
2021-11-05,-57,Colorado,21I,11
2021-12-14,-18,New Mexico,21J,61
2021-10-31,-62,New Hampshire,21I,2
2021-11-08,-54,Oklahoma,21J,13
2021-11-12,-50,Texas,other,2
2021-11-05,-57,Alabama,21J,7
2021-10-30,-63,Wisconsin,other,7
2021-10-19,-74,South Dakota,21I,1
2021-11-14,-48,Washington,21I,5
2021-12-17,-15,West Virginia,other,1
2021-10-08,-85,Idaho,21J,80
2021-10-18,-75,Wyoming,21I,2
2021-10-22,-71,Rhode Island,21J,45
2021-11-12,-50,Alaska,21J,38
2021-11-06,-56,Rhode Island,21J,27
2021-11-03,-59,California,21A,5
2021-12-05,-27,Nevada,21J,31
2021-11-19,-43,North Dakota,21J,3
2021-10-18,-75,Tennessee,21J,95
2021-12-02,-30,Colorado,21I,1
2021-11-06,-56,New Hampshire,21J,44
2021-11-24,-38,Kentucky,21J,49
2021-10-26,-67,New Jersey,other,2
2021-12-18,-14,Massachusetts,21J,195
2021-11-26,-36,Nevada,21I,3
2021-10-09,-84,Pennsylvania,21A,1
2021-12-05,-27,Michigan,21K,1
2021-10-13,-80,Virginia,21I,7
2021-12-27,-5,Arizona,21K,2
2021-11-01,-61,Florida,21J,114
2021-10-15,-78,Washington,21I,10
2021-10-08,-85,North Dakota,21J,6
2021-11-11,-51,Louisiana,21J,15
2021-11-04,-58,Connecticut,21I,1
2021-12-10,-22,Indiana,21I,2
2021-11-16,-46,Mississippi,21J,7
2021-11-13,-49,Pennsylvania,21I,7
2021-10-21,-72,Utah,21J,53
2021-11-03,-59,Utah,21J,56
2021-10-16,-77,Wisconsin,21J,113
2021-12-12,-20,New Jersey,21J,10
2021-12-08,-24,Washington,21K,24
2021-10-20,-73,Alabama,21I,1
2021-12-04,-28,Wisconsin,21J,59
2021-11-04,-58,Ohio,21A,1
2021-11-05,-57,Arizona,21I,5
2021-11-03,-59,Montana,21A,1
2021-11-24,-38,Colorado,21I,10
2021-12-01,-31,New Jersey,21J,388
2021-12-09,-23,Utah,21A,1
2021-10-27,-66,South Dakota,21J,12
2021-10-16,-77,West Virginia,21J,83
2021-10-25,-68,Texas,21J,263
2021-11-23,-39,Utah,21A,3
2021-12-10,-22,Arizona,21I,2
2021-12-02,-30,Missouri,21I,1
2021-10-21,-72,Arizona,other,1
2021-12-17,-15,Pennsylvania,other,1
2021-10-11,-82,Rhode Island,21I,5
2021-11-18,-44,New Hampshire,21A,1
2021-10-12,-81,Minnesota,21I,24
2021-10-06,-87,California,21A,16
2021-11-22,-40,Vermont,21J,197
2021-10-18,-75,Oklahoma,21J,33
2021-10-24,-69,Connecticut,21I,2
2021-10-03,-90,Kentucky,21I,4
2021-10-23,-70,Pennsylvania,21A,1
2021-10-15,-78,Texas,21I,17
2021-11-09,-53,Ohio,21A,1
2021-11-03,-59,Massachusetts,21A,5
2021-11-29,-33,West Virginia,21I,5
2021-12-03,-29,Wyoming,21J,2
2021-11-24,-38,Louisiana,21J,8
2021-12-02,-30,Georgia,21J,53
2021-11-07,-55,New Mexico,21J,93
2021-11-28,-34,Nevada,21I,1
2021-12-25,-7,Arizona,21K,3
2021-11-30,-32,New York,21I,5
2021-11-23,-39,South Carolina,21J,16
2021-10-25,-68,West Virginia,21I,10
2021-10-20,-73,Kansas,21J,45
2021-11-29,-33,Michigan,21A,1
2021-10-17,-76,Maryland,21I,4
2021-12-17,-15,Texas,21K,197
2021-11-10,-52,Colorado,21A,20
2021-12-08,-24,Missouri,21J,33
2021-12-04,-28,West Virginia,21I,3
2021-10-04,-89,Tennessee,21J,138
2021-10-19,-74,Nebraska,21J,33
2021-10-12,-81,Nevada,21A,3
2021-11-18,-44,Georgia,21I,1
2021-11-22,-40,Virginia,21J,34
2021-10-08,-85,New Jersey,21I,14
2021-10-17,-76,Florida,other,2
2021-11-02,-60,Nebraska,21I,1
2021-10-12,-81,Michigan,21J,184
2021-10-18,-75,Ohio,21I,14
2021-11-26,-36,Rhode Island,21A,3
2021-11-06,-56,Idaho,21J,13
2021-12-12,-20,Kansas,21I,1
2021-12-11,-21,Colorado,21J,22
2021-11-27,-35,Missouri,21J,67
2021-11-13,-49,Connecticut,21J,64
2021-10-28,-65,Colorado,21I,10
2021-12-13,-19,New York,21K,31
2021-12-14,-18,Illinois,21I,3
2021-10-17,-76,Hawaii,21J,3
2021-11-04,-58,Kansas,21J,34
2021-12-20,-12,Rhode Island,21K,6
2021-10-26,-67,Vermont,21J,89
2021-11-13,-49,Vermont,21A,1
2021-12-07,-25,New Hampshire,21J,58
2021-10-25,-68,Alaska,21J,29
2021-10-03,-90,Massachusetts,other,1
2021-11-28,-34,North Dakota,21J,8
2021-10-09,-84,Maine,21I,0
2021-11-07,-55,Nevada,21J,39
2021-12-06,-26,Nevada,21J,48
2021-10-04,-89,South Carolina,21I,11
2021-10-31,-62,South Carolina,21J,26
2021-11-13,-49,Nebraska,21J,30
2021-12-07,-25,Texas,21I,3
2021-11-03,-59,Tennessee,21I,1
2021-10-31,-62,Utah,21J,16
2021-10-11,-82,North Carolina,21J,145
2021-12-17,-15,Maine,21J,0
2021-10-17,-76,Montana,21J,6
2021-11-11,-51,South Dakota,21J,3
2021-11-02,-60,Indiana,21I,7
2021-10-17,-76,Texas,21I,5
2021-12-17,-15,Colorado,21K,139
2021-10-17,-76,Michigan,21A,2
2021-11-13,-49,New Mexico,21J,118
2021-12-12,-20,Texas,21J,21
2021-10-23,-70,Georgia,21A,1
2021-10-06,-87,New Hampshire,21I,1
2021-12-17,-15,Kansas,21K,4
2021-10-05,-88,Ohio,21A,3
2021-10-12,-81,New Mexico,21J,81
2021-10-07,-86,Arkansas,21J,26
2021-11-09,-53,Puerto Rico,21J,7
2021-10-22,-71,Idaho,21J,64
2021-11-30,-32,South Dakota,21J,7
2021-11-02,-60,Vermont,21J,122
2021-10-30,-63,Arkansas,21J,3
2021-11-10,-52,Oklahoma,21J,15
2021-12-09,-23,Michigan,21J,147
2021-11-11,-51,Oklahoma,21J,8
2021-11-11,-51,Nevada,21I,3
2021-10-23,-70,Michigan,21A,1
2021-10-22,-71,Wisconsin,21I,6
2021-12-16,-16,Tennessee,21K,18
2021-12-01,-31,Arizona,21J,27
2021-12-18,-14,Indiana,21J,6
2021-11-18,-44,Mississippi,21I,1
2021-12-17,-15,Rhode Island,21J,18
2021-12-10,-22,Utah,21J,5
2021-11-03,-59,Alaska,21J,41
2021-12-19,-13,North Carolina,21K,4
2021-10-08,-85,California,21I,49
2021-12-02,-30,Arkansas,21I,1
2021-11-16,-46,Pennsylvania,21J,233
2021-12-09,-23,Texas,21J,70
2021-10-18,-75,Arizona,21J,127
2021-10-09,-84,Idaho,21J,45
2021-12-13,-19,Maryland,21I,4
2021-12-02,-30,New Hampshire,21J,41
2021-12-08,-24,Georgia,21K,9
2021-10-08,-85,Pennsylvania,other,1
2021-10-21,-72,Indiana,other,6
2021-11-22,-40,Washington DC,21J,11
2021-10-28,-65,Michigan,21J,282
2021-10-21,-72,Maine,other,0
2021-11-16,-46,Nevada,21A,3
2021-11-08,-54,Florida,21I,8
2021-12-19,-13,Arizona,21J,11
2021-12-02,-30,Nevada,21J,36
2021-11-01,-61,Michigan,21I,12
2021-11-19,-43,Pennsylvania,21I,9
2021-10-15,-78,New York,21I,4
2021-12-07,-25,Virginia,21I,1
2021-10-19,-74,Kansas,21I,2
2021-12-17,-15,Tennessee,21I,1
2021-10-28,-65,Minnesota,21J,463
2021-10-11,-82,Utah,21J,49
2021-12-16,-16,Oregon,21K,4
2021-10-12,-81,Idaho,other,1
2021-11-11,-51,Massachusetts,other,5
2021-11-28,-34,Florida,21A,1
2021-11-13,-49,Pennsylvania,21J,178
2021-10-31,-62,West Virginia,21J,60
2021-10-27,-66,Idaho,21I,3
2021-12-08,-24,West Virginia,21J,92
2021-11-22,-40,Idaho,21A,1
2021-11-25,-37,Michigan,21J,12
2021-11-01,-61,North Dakota,21J,11
2021-10-03,-90,Ohio,21I,2
2021-12-03,-29,Nebraska,21J,12
2021-12-14,-18,Louisiana,21K,16
2021-10-08,-85,North Carolina,21J,145
2021-10-06,-87,Tennessee,21I,5
2021-10-26,-67,Mississippi,21J,10
2021-11-20,-42,Connecticut,21J,37
2021-11-20,-42,Oklahoma,21J,5
2021-11-21,-41,New Jersey,21J,87
2021-11-04,-58,Massachusetts,21I,28
2021-10-05,-88,Idaho,21I,4
2021-12-10,-22,New Jersey,21J,102
2021-10-20,-73,Ohio,21A,1
2021-10-12,-81,Kansas,21I,1
2021-11-17,-45,Indiana,21I,8
2021-10-18,-75,Oregon,21A,3
2021-11-29,-33,Louisiana,21J,4
2021-12-10,-22,Louisiana,21J,11
2021-10-20,-73,Florida,21A,1
2021-12-10,-22,Maryland,other,1
2021-10-25,-68,North Dakota,21I,2
2021-12-08,-24,Washington,21A,2
2021-12-11,-21,Florida,21I,1
2021-12-16,-16,Maine,21J,0
2021-10-28,-65,Vermont,21I,3
2021-10-27,-66,Washington,21J,78
2021-12-04,-28,Rhode Island,21I,2
2021-10-13,-80,New Hampshire,21J,28
2021-11-22,-40,Rhode Island,other,1
2021-10-31,-62,Mississippi,21J,1
2021-10-23,-70,New Mexico,21A,3
2021-11-29,-33,Kentucky,other,1
2021-12-02,-30,Massachusetts,21J,1325
2021-10-13,-80,Michigan,21J,210
2021-10-11,-82,Tennessee,21I,7
2021-11-11,-51,Virginia,21A,2
2021-11-09,-53,Oregon,21J,67
2021-12-15,-17,Florida,21K,172
2021-11-17,-45,Idaho,21I,1
2021-11-30,-32,Alabama,21J,19
2021-11-05,-57,Tennessee,21J,48
2021-10-26,-67,New Mexico,21I,7
2021-11-20,-42,Florida,21A,1
2021-12-09,-23,Illinois,21J,122
2021-11-15,-47,Pennsylvania,21A,2
2021-10-13,-80,Arkansas,21I,2
2021-10-26,-67,New Mexico,21J,154
2021-11-08,-54,Nevada,21J,94
2021-10-26,-67,New York,21I,4
2021-11-21,-41,Texas,21A,1
2021-10-03,-90,Indiana,other,1
2021-10-18,-75,Kansas,21J,46
2021-11-04,-58,Michigan,other,5
2021-10-23,-70,Nevada,21I,3
2021-10-15,-78,Tennessee,21A,1
2021-10-12,-81,Indiana,21I,1
2021-11-29,-33,Indiana,21I,1
2021-12-08,-24,Massachusetts,other,1
2021-11-16,-46,Washington,21J,129
2021-10-29,-64,Alabama,21I,2
2021-11-16,-46,Delaware,21I,1
2021-11-18,-44,Illinois,21J,171
2021-11-18,-44,Virginia,21J,96
2021-10-26,-67,Rhode Island,21I,1
2021-10-12,-81,Massachusetts,21A,7
2021-10-29,-64,Virginia,21J,117
2021-11-16,-46,Virginia,21I,10
2021-10-28,-65,New Mexico,21J,123
2021-10-20,-73,Puerto Rico,21I,1
2021-10-10,-83,California,21J,168
2021-11-21,-41,Florida,other,1
2021-11-10,-52,Iowa,21I,1
2021-10-15,-78,Louisiana,21J,6
2021-10-18,-75,Nebraska,21A,1
2021-10-28,-65,South Carolina,21I,3
2021-10-23,-70,South Dakota,21J,21
2021-10-28,-65,Connecticut,21I,2
2021-10-03,-90,Alaska,21A,1
2021-12-01,-31,Hawaii,21J,4
2021-12-16,-16,Kansas,21J,8
2021-10-03,-90,Colorado,21I,5
2021-11-22,-40,Florida,21J,89
2021-10-25,-68,Hawaii,21J,10
2021-12-01,-31,Illinois,21J,56
2021-11-02,-60,Kansas,21I,3
2021-12-16,-16,Nevada,21J,13
2021-11-07,-55,Utah,21J,46
2021-10-08,-85,Puerto Rico,21J,1
2021-11-15,-47,Oregon,21J,48
2021-11-25,-37,Georgia,21J,2
2021-10-12,-81,Massachusetts,21J,418
2021-10-13,-80,Oklahoma,21A,1
2021-12-05,-27,Vermont,21J,20
2021-12-06,-26,Minnesota,21I,7
2021-11-18,-44,Arkansas,21J,18
2021-11-18,-44,Delaware,21J,1
2021-10-15,-78,Maine,21I,0
2021-10-04,-89,Kentucky,21I,6
2021-11-27,-35,South Dakota,21J,1
2021-10-18,-75,Utah,21J,58
2021-11-24,-38,Pennsylvania,21J,211
2021-10-26,-67,Delaware,21J,14
2021-12-21,-11,Arizona,21J,4
2021-11-17,-45,New Hampshire,other,1
2021-11-30,-32,West Virginia,21A,1
2021-12-10,-22,Delaware,21J,15
2021-10-21,-72,South Carolina,21I,9
2021-11-01,-61,New Mexico,21I,1
2021-11-15,-47,West Virginia,21I,2
2021-10-04,-89,Florida,21I,25
2021-12-13,-19,New Mexico,21A,1
2021-10-21,-72,Pennsylvania,21J,193
2021-10-15,-78,Kentucky,21I,4
2021-12-13,-19,Oregon,21J,20
2021-10-16,-77,Tennessee,21J,50
2021-11-29,-33,Maine,21J,0
2021-11-30,-32,Georgia,other,1
2021-11-07,-55,Wisconsin,other,2
2021-10-05,-88,Minnesota,21J,563
2021-10-20,-73,Arkansas,21J,37
2021-11-02,-60,Massachusetts,21A,4
2021-10-05,-88,Kansas,21J,35
2021-11-19,-43,South Dakota,21J,7
2021-11-08,-54,Illinois,other,2
2021-11-10,-52,Maryland,21I,7
2021-11-07,-55,Missouri,other,2
2021-10-20,-73,Oklahoma,21J,46
2021-12-12,-20,Washington,21I,2
2021-10-18,-75,Kansas,21I,3
2021-11-03,-59,Nevada,21I,6
2021-12-08,-24,Ohio,21K,9
2021-11-05,-57,New Mexico,21A,2
2021-11-17,-45,Tennessee,21J,48
2021-12-11,-21,Washington,21K,4
2021-10-19,-74,Michigan,other,1
2021-10-14,-79,Washington,21I,5
2021-12-14,-18,Wisconsin,21K,9
2021-11-15,-47,New Hampshire,21A,2
2021-10-18,-75,Arkansas,21I,2
2021-12-19,-13,Arizona,21I,2
2021-12-20,-12,Massachusetts,21J,324
2021-11-23,-39,Tennessee,21J,68
2021-12-18,-14,Texas,other,1
2021-11-28,-34,Pennsylvania,21I,6
2021-11-14,-48,Tennessee,21I,3
2021-10-11,-82,Tennessee,21A,1
2021-12-22,-10,Arizona,21J,3
2021-12-14,-18,Colorado,21J,36
2021-12-08,-24,Kansas,21J,20
2021-11-28,-34,Kansas,21I,2
2021-12-05,-27,Alabama,21K,1
2021-11-18,-44,Nebraska,21J,23
2021-11-11,-51,Michigan,21I,14
2021-11-13,-49,California,21J,452
2021-10-11,-82,South Carolina,21I,7
2021-10-24,-69,Rhode Island,21J,18
2021-12-15,-17,Oregon,21J,12
2021-11-09,-53,Arizona,21I,8
2021-12-02,-30,New Mexico,21A,1
2021-12-03,-29,Rhode Island,21A,2
2021-10-19,-74,Kansas,21J,36
2021-12-13,-19,Virginia,21J,84
2021-12-03,-29,California,21J,695
2021-11-08,-54,Rhode Island,21A,1
2021-12-12,-20,Nebraska,21J,10
2021-10-10,-83,Louisiana,21J,5
2021-10-23,-70,Kansas,21J,46
2021-12-13,-19,New Jersey,21I,1
2021-11-26,-36,New York,21K,2
2021-12-17,-15,California,other,2
2021-11-12,-50,Texas,21I,15
2021-12-11,-21,Massachusetts,21I,10
2021-10-10,-83,New York,21J,82
2021-10-22,-71,Wyoming,21J,13
2021-10-21,-72,Arkansas,21J,28
2021-10-13,-80,Indiana,21I,7
2021-10-26,-67,Montana,21J,29
2021-11-16,-46,Missouri,21I,2
2021-11-09,-53,New Mexico,21J,191
2021-12-07,-25,Washington,21J,115
2021-12-16,-16,Tennessee,21J,10
2021-12-06,-26,Iowa,21J,19
2021-11-15,-47,Minnesota,21I,19
2021-12-07,-25,Vermont,21J,13
2021-10-08,-85,Ohio,21A,3
2021-12-10,-22,Alaska,21J,3
2021-12-12,-20,Florida,21J,24
2021-10-26,-67,South Carolina,21I,2
2021-11-25,-37,Colorado,21J,9
2021-11-05,-57,Georgia,21J,59
2021-10-30,-63,Minnesota,21A,1
2021-11-11,-51,Colorado,21J,869
2021-12-04,-28,Wyoming,21J,3
2021-12-13,-19,New Hampshire,21K,1
2021-10-28,-65,Tennessee,21J,76
2021-10-19,-74,Idaho,21I,2
2021-11-18,-44,Missouri,21J,33
2021-11-08,-54,Alabama,21J,9
2021-10-09,-84,Washington DC,21J,16
2021-10-23,-70,Washington DC,21J,9
2021-12-13,-19,North Carolina,21K,10
2021-10-20,-73,Tennessee,other,1
2021-11-08,-54,Michigan,other,4
2021-10-09,-84,Wisconsin,21J,128
2021-12-11,-21,Wisconsin,21I,1
2021-12-11,-21,Mississippi,21K,2
2021-12-04,-28,Illinois,21K,2
2021-12-11,-21,Illinois,21I,5
2021-12-17,-15,Virginia,21K,6
2021-11-19,-43,Maine,21I,0
2021-11-30,-32,Alaska,21J,25
2021-11-15,-47,New Hampshire,21J,79
2021-12-12,-20,Pennsylvania,21J,11
2021-10-25,-68,Idaho,21I,3
2021-10-06,-87,North Dakota,21J,12
2021-12-16,-16,Pennsylvania,21I,2
2021-12-16,-16,Washington DC,21K,64
2021-11-10,-52,Alabama,21J,9
2021-12-01,-31,Georgia,21K,1
2021-10-18,-75,Minnesota,21J,641
2021-10-31,-62,Texas,21J,172
2021-12-06,-26,Arizona,21J,171
2021-12-11,-21,Ohio,21I,2
2021-11-28,-34,Washington DC,21J,2
2021-10-15,-78,Florida,other,7
2021-11-09,-53,Kansas,21I,3
2021-12-03,-29,New Mexico,21J,80
2021-11-13,-49,Tennessee,21I,4
2021-10-06,-87,Indiana,21J,171
2021-12-05,-27,Michigan,21I,3
2021-12-15,-17,Maine,21J,0
2021-11-05,-57,New Mexico,other,2
2021-10-20,-73,South Carolina,21I,2
2021-11-13,-49,Alaska,21A,1
2021-10-26,-67,Illinois,21I,8
2021-10-19,-74,Pennsylvania,21J,171
2021-11-13,-49,Alaska,21I,1
2021-11-08,-54,Oklahoma,other,2
2021-10-09,-84,New Hampshire,21A,1
2021-11-16,-46,Iowa,21I,1
2021-10-12,-81,South Carolina,21I,7
2021-10-09,-84,Connecticut,21J,46
2021-11-18,-44,Texas,21I,8
2021-10-07,-86,Idaho,21A,1
2021-12-03,-29,Washington DC,21I,1
2021-11-27,-35,Minnesota,21A,2
2021-11-13,-49,Indiana,other,2
2021-12-12,-20,North Dakota,21J,6
2021-10-12,-81,Montana,21I,1
2021-10-12,-81,Pennsylvania,other,1
2021-10-25,-68,New Mexico,21A,1
2021-10-05,-88,Puerto Rico,21J,12
2021-12-17,-15,South Dakota,21J,6
2021-12-08,-24,North Carolina,21J,109
2021-12-05,-27,Kentucky,21J,32
2021-11-06,-56,Vermont,21I,6
2021-11-07,-55,Massachusetts,21J,305
2021-10-17,-76,New Jersey,21I,1
2021-10-30,-63,West Virginia,21J,51
2021-11-10,-52,Ohio,21J,154
2021-10-22,-71,Colorado,21I,11
2021-10-30,-63,Tennessee,other,1
2021-12-16,-16,Arkansas,21K,1
2021-11-05,-57,North Carolina,21I,10
2021-10-14,-79,Iowa,21J,38
2021-11-05,-57,West Virginia,other,3
2021-10-03,-90,West Virginia,21J,58
2021-11-22,-40,North Dakota,21J,3
2021-10-12,-81,Virginia,21I,2
2021-12-06,-26,New Jersey,other,1
2021-10-28,-65,Oklahoma,21J,21
2021-12-18,-14,California,21I,14
2021-10-22,-71,California,21J,692
2021-10-12,-81,Montana,21J,20
2021-10-04,-89,Iowa,21J,63
2021-10-28,-65,New Mexico,21A,1
2021-11-04,-58,Wyoming,21J,10
2021-11-16,-46,Utah,21J,42
2021-11-06,-56,Indiana,other,2
2021-12-18,-14,Oregon,21J,7
2021-10-19,-74,Ohio,21I,9
2021-10-19,-74,Michigan,21I,12
2021-11-03,-59,Puerto Rico,21J,6
2021-10-12,-81,Ohio,21I,2
2021-11-15,-47,Connecticut,other,1
2021-11-14,-48,Arkansas,21J,2
2021-10-29,-64,New Jersey,21J,210
2021-11-05,-57,Alaska,21A,5
2021-11-20,-42,Minnesota,other,1
2021-11-16,-46,Pennsylvania,21A,2
2021-10-10,-83,Texas,21A,1
2021-12-03,-29,New Jersey,21K,1
2021-12-01,-31,North Carolina,21I,7
2021-11-27,-35,Alaska,21J,12
2021-10-18,-75,California,21A,26
2021-12-09,-23,North Carolina,21I,4
2021-10-08,-85,New Jersey,other,2
2021-10-04,-89,Missouri,21I,4
2021-11-15,-47,Pennsylvania,other,3
2021-10-04,-89,Massachusetts,other,2
2021-11-01,-61,Illinois,other,4
2021-12-17,-15,Connecticut,other,1
2021-10-24,-69,Illinois,21J,91
2021-11-19,-43,Tennessee,21I,3
2021-10-14,-79,Michigan,other,4
2021-11-16,-46,Washington DC,21I,1
2021-10-11,-82,Maryland,21A,2
2021-10-24,-69,Michigan,other,1
2021-11-01,-61,Wisconsin,21I,5
2021-11-05,-57,California,21J,814
2021-11-29,-33,Massachusetts,21K,2
2021-10-30,-63,Oklahoma,21J,4
2021-10-09,-84,Colorado,21J,169
2021-11-06,-56,Maryland,21J,42
2021-11-09,-53,Kentucky,other,1
2021-10-14,-79,Connecticut,21J,39
2021-10-10,-83,Oklahoma,21J,22
2021-11-07,-55,Colorado,21A,6
2021-11-05,-57,Rhode Island,21J,45
2021-12-16,-16,Iowa,21I,1
2021-10-19,-74,Oklahoma,21I,3
2021-10-29,-64,Mississippi,21J,8
2021-12-02,-30,Texas,21A,1
2021-11-21,-41,West Virginia,21I,3
2021-10-15,-78,Indiana,21J,94
2021-10-22,-71,Washington DC,21J,6
2021-11-13,-49,New Jersey,21J,96
2021-12-01,-31,South Dakota,21J,6
2021-10-22,-71,Alabama,21J,14
2021-12-06,-26,Tennessee,21J,8
2021-10-28,-65,Washington DC,21I,1
2021-12-03,-29,Massachusetts,21A,6
2021-10-29,-64,Ohio,21J,119
2021-11-17,-45,Iowa,21J,35
2021-11-18,-44,Minnesota,21I,2
2021-11-13,-49,Ohio,21A,1
2021-12-11,-21,South Carolina,21K,1
2021-10-19,-74,Maryland,21J,113
2021-10-03,-90,Nebraska,21J,24
2021-10-19,-74,Indiana,21I,8
2021-12-08,-24,Kentucky,21I,2
2021-12-03,-29,Connecticut,21I,1
2021-11-08,-54,Arizona,21A,5
2021-10-08,-85,Arkansas,21J,51
2021-11-17,-45,Florida,21I,4
2021-10-13,-80,Iowa,21J,35
2021-12-07,-25,Kentucky,21J,11
2021-12-16,-16,Washington,other,1
2021-10-29,-64,Louisiana,21J,10
2021-10-06,-87,Maine,21I,0
2021-10-25,-68,California,21I,73
2021-11-29,-33,Delaware,21J,17
2021-11-19,-43,Massachusetts,21A,4
2021-11-15,-47,Alaska,21A,2
2021-11-22,-40,Utah,21J,21
2021-10-22,-71,New Jersey,21I,10
2021-12-27,-5,Arizona,21J,2
2021-10-14,-79,Minnesota,21J,481
2021-10-20,-73,Alaska,21A,1
2021-10-09,-84,Tennessee,21J,59
2021-10-04,-89,Texas,other,3
2021-12-06,-26,Arizona,21K,3
2021-10-08,-85,South Carolina,21J,51
2021-10-17,-76,North Carolina,21I,4
2021-12-10,-22,Connecticut,21K,2
2021-11-12,-50,North Dakota,21J,4
2021-12-14,-18,Kansas,21J,22
2021-10-27,-66,New Mexico,21A,4
2021-11-14,-48,Tennessee,other,1
