date,fd_offset,division,lineage,count
2021-12-14,-18,Vermont,21K,16
2021-12-06,-26,Washington,21K,5
2021-11-06,-56,Wisconsin,21I,3
2021-10-17,-76,New York,21I,1
2021-10-30,-63,Texas,21J,195
2021-10-24,-69,Arizona,21I,4
2021-12-06,-26,West Virginia,21J,127
2021-10-31,-62,Michigan,21I,9
2021-10-22,-71,Illinois,21J,141
2021-10-11,-82,Montana,21J,44
2021-12-14,-18,Pennsylvania,21I,2
2021-11-06,-56,Oregon,21J,31
2021-11-09,-53,Massachusetts,21A,4
2021-10-30,-63,Connecticut,21J,29
2021-12-14,-18,Alabama,21I,2
2021-10-28,-65,Minnesota,21I,9
2021-10-07,-86,Pennsylvania,21I,9
2021-10-04,-89,Maine,21J,0
2021-12-08,-24,Illinois,21I,1
2021-12-01,-31,Louisiana,21J,8
2021-11-04,-58,New York,21A,2
2021-11-17,-45,North Dakota,21I,1
2021-11-30,-32,South Carolina,21I,1
2021-12-16,-16,North Carolina,21I,3
2021-10-04,-89,Oklahoma,21I,10
2021-10-15,-78,Tennessee,other,1
2021-11-08,-54,Florida,21J,86
2021-12-06,-26,Missouri,21J,45
2021-10-19,-74,Texas,21J,172
2021-11-06,-56,Massachusetts,21J,315
2021-11-19,-43,Ohio,other,1
2021-12-06,-26,Arizona,21A,3
2021-12-13,-19,Georgia,21J,20
2021-11-21,-41,Indiana,other,1
2021-11-10,-52,Washington DC,21J,10
2021-10-20,-73,Texas,other,5
2021-12-10,-22,Minnesota,21K,21
2021-11-10,-52,New Hampshire,21J,42
2021-10-23,-70,Arizona,21J,73
2021-12-01,-31,Georgia,21I,3
2021-12-08,-24,Rhode Island,21J,60
2021-10-10,-83,New York,21A,1
2021-10-07,-86,Georgia,21J,116
2021-11-22,-40,Florida,21I,2
2021-11-21,-41,Idaho,21J,10
2021-10-13,-80,Oregon,21I,3
2021-12-01,-31,Illinois,other,2
2021-12-14,-18,New York,21K,71
2021-11-04,-58,Texas,21J,186
2021-12-10,-22,Vermont,21A,3
2021-12-14,-18,Arkansas,21K,1
2021-12-18,-14,North Carolina,21K,6
2021-12-10,-22,Maryland,21K,11
2021-10-14,-79,Pennsylvania,other,2
2021-10-14,-79,Colorado,21A,5
2021-11-11,-51,Idaho,21I,4
2021-10-21,-72,Texas,21I,13
2021-10-17,-76,Georgia,21I,2
2021-12-12,-20,California,21I,2
2021-12-02,-30,West Virginia,21K,1
2021-10-26,-67,New Mexico,21A,7
2021-10-10,-83,Nevada,other,1
2021-11-19,-43,North Carolina,21I,3
2021-12-06,-26,Utah,21J,19
2021-11-02,-60,New Jersey,21I,3
2021-11-27,-35,Kentucky,21J,31
2021-11-18,-44,Louisiana,21J,10
2021-11-26,-36,Michigan,21J,236
2021-11-13,-49,Puerto Rico,21J,1
2021-11-01,-61,Nebraska,21J,59
2021-11-07,-55,Missouri,21I,3
2021-12-02,-30,Nebraska,21J,20
2021-11-11,-51,California,21J,528
2021-11-22,-40,Texas,21J,121
2021-12-13,-19,Oklahoma,21J,3
2021-10-05,-88,Louisiana,21J,22
2021-11-27,-35,New York,21I,2
2021-10-11,-82,Minnesota,21A,1
2021-10-30,-63,Montana,21J,3
2021-10-03,-90,Minnesota,21J,253
2021-11-04,-58,Arizona,other,4
2021-10-12,-81,Mississippi,21J,16
2021-12-01,-31,North Carolina,other,2
2021-11-03,-59,Rhode Island,21I,2
2021-10-22,-71,Idaho,21A,2
2021-11-08,-54,Tennessee,other,2
2021-10-05,-88,Alabama,21I,4
2021-11-23,-39,Mississippi,other,1
2021-10-07,-86,Alabama,21I,1
2021-11-25,-37,Nebraska,21J,1
2021-12-15,-17,Arizona,21J,26
2021-11-16,-46,South Dakota,21J,20
2021-12-05,-27,New Hampshire,21J,22
2021-10-05,-88,Pennsylvania,21I,11
2021-11-09,-53,North Carolina,21I,7
2021-11-19,-43,Minnesota,21J,533
2021-10-18,-75,Oklahoma,21I,5
2021-12-05,-27,Wyoming,21J,1
2021-11-30,-32,Nebraska,21I,2
2021-12-14,-18,Minnesota,21I,2
2021-10-14,-79,New Hampshire,21A,1
2021-12-08,-24,Pennsylvania,21K,5
2021-10-29,-64,Puerto Rico,21J,3
2021-11-22,-40,New Mexico,21I,6
2021-11-11,-51,North Carolina,21J,116
2021-10-10,-83,Nebraska,21J,29
2021-10-15,-78,Maine,other,0
2021-10-17,-76,Tennessee,21J,40
2021-10-23,-70,Georgia,21I,4
2021-11-08,-54,Georgia,21I,3
2021-10-07,-86,New Mexico,21J,75
2021-11-17,-45,Kansas,21I,1
2021-11-01,-61,Rhode Island,21J,42
2021-11-16,-46,Texas,21I,5
2021-10-23,-70,West Virginia,21I,5
2021-12-12,-20,Montana,21J,1
2021-10-24,-69,Alabama,21J,8
2021-11-04,-58,Nebraska,21I,6
2021-12-14,-18,Texas,21J,61
2021-12-16,-16,Nevada,21A,2
2021-10-24,-69,Missouri,21J,60
2021-11-23,-39,Oregon,21J,31
2021-12-03,-29,Washington DC,21J,11
2021-11-19,-43,Florida,21I,3
2021-10-31,-62,Washington,21I,4
2021-10-11,-82,Alabama,21J,39
2021-11-27,-35,Wisconsin,21I,1
2021-12-01,-31,Connecticut,21K,1
2021-10-19,-74,New York,other,1
2021-10-20,-73,Iowa,21I,1
2021-12-06,-26,Arkansas,21I,2
2021-10-06,-87,Illinois,21J,174
2021-10-23,-70,New York,21I,9
2021-11-19,-43,West Virginia,21A,1
2021-11-14,-48,New Hampshire,21J,39
2021-10-13,-80,Maine,21J,0
2021-12-02,-30,Virginia,21I,3
2021-10-14,-79,Virginia,other,1
2021-11-02,-60,Indiana,other,2
2021-10-07,-86,New Jersey,21J,139
2021-10-31,-62,New Jersey,21J,97
2021-11-24,-38,Nevada,21J,50
2021-12-06,-26,Pennsylvania,21I,4
2021-10-12,-81,West Virginia,21J,91
2021-10-11,-82,New Hampshire,21A,2
2021-10-24,-69,Virginia,21A,1
2021-10-21,-72,Indiana,21A,5
2021-12-19,-13,Connecticut,21J,5
2021-12-10,-22,Missouri,21J,38
2021-11-17,-45,New Hampshire,21I,1
2021-11-03,-59,Michigan,other,3
2021-12-15,-17,New Hampshire,21K,3
2021-10-28,-65,Kansas,21I,1
2021-11-17,-45,New Mexico,21I,3
2021-12-02,-30,South Dakota,21J,3
2021-10-23,-70,Alaska,21I,1
2021-10-11,-82,Illinois,21I,8
2021-12-07,-25,Ohio,21J,39
2021-10-26,-67,Texas,21A,3
2021-11-26,-36,Washington DC,21J,2
2021-11-29,-33,Virginia,21I,2
2021-10-14,-79,Colorado,21I,3
2021-10-31,-62,Nevada,21J,58
2021-10-05,-88,Florida,other,8
2021-12-09,-23,California,21A,6
2021-10-14,-79,Indiana,21A,1
2021-10-04,-89,Arizona,other,3
2021-11-19,-43,Ohio,21J,162
2021-10-20,-73,Wisconsin,21I,3
2021-11-11,-51,Missouri,21I,1
2021-12-14,-18,Kansas,21I,1
2021-11-20,-42,Nevada,21J,14
2021-10-29,-64,Massachusetts,21A,2
2021-10-06,-87,Idaho,21J,60
2021-11-29,-33,New York,21I,9
2021-11-13,-49,Maryland,21J,60
2021-12-01,-31,Ohio,21K,2
2021-10-20,-73,Hawaii,21J,7
2021-10-20,-73,California,other,1
2021-11-27,-35,Idaho,21J,9
2021-10-19,-74,New Jersey,21J,95
2021-11-17,-45,Texas,21J,272
2021-10-29,-64,Illinois,21I,7
2021-11-15,-47,New Hampshire,other,1
2021-11-12,-50,Tennessee,other,1
2021-12-08,-24,New Hampshire,21K,1
2021-10-21,-72,Pennsylvania,other,4
2021-10-27,-66,Texas,21J,154
2021-11-26,-36,California,other,3
2021-10-22,-71,Texas,21A,1
2021-12-03,-29,Texas,21K,3
2021-10-28,-65,New Jersey,21J,157
2021-10-27,-66,Oklahoma,other,1
2021-12-06,-26,Wisconsin,21K,1
2021-12-03,-29,Oregon,21J,23
2021-11-19,-43,Michigan,21J,356
2021-11-09,-53,New Mexico,21A,4
2021-12-18,-14,Vermont,21K,19
2021-11-26,-36,Minnesota,21I,3
2021-11-13,-49,Oregon,21J,16
2021-11-22,-40,Indiana,21I,6
2021-11-21,-41,Kentucky,21J,24
2021-11-07,-55,Massachusetts,21A,1
2021-11-19,-43,Washington DC,21J,16
2021-12-04,-28,New Hampshire,21J,37
2021-11-05,-57,South Dakota,21J,4
2021-11-14,-48,Texas,21J,159
2021-11-28,-34,Texas,21J,141
2021-12-10,-22,Arizona,21A,1
2021-11-20,-42,South Carolina,21J,37
2021-10-10,-83,California,21A,5
2021-12-13,-19,California,other,1
2021-11-08,-54,North Carolina,21I,9
2021-11-22,-40,Illinois,21J,184
2021-10-31,-62,Massachusetts,21A,2
2021-12-04,-28,Maryland,21J,42
2021-12-09,-23,Vermont,21I,1
2021-11-16,-46,Indiana,other,3
2021-11-09,-53,Connecticut,21J,69
2021-11-22,-40,California,21J,762
2021-10-15,-78,New Mexico,21I,5
2021-10-07,-86,Puerto Rico,21J,4
2021-10-18,-75,Tennessee,21I,7
2021-11-10,-52,Texas,21A,2
2021-12-06,-26,Massachusetts,21K,7
2021-11-14,-48,Illinois,21J,152
2021-12-12,-20,Minnesota,other,1
2021-10-09,-84,California,21J,469
2021-10-18,-75,Massachusetts,21J,432
2021-10-10,-83,Rhode Island,21I,5
2021-10-07,-86,Maryland,21A,4
2021-10-08,-85,Texas,21I,17
2021-11-20,-42,Virginia,21I,1
2021-11-10,-52,Michigan,other,2
2021-12-04,-28,Vermont,21J,103
2021-12-07,-25,Idaho,21J,19
2021-12-04,-28,Colorado,21J,36
2021-11-17,-45,Pennsylvania,21I,10
2021-10-20,-73,Kentucky,21I,4
2021-10-07,-86,Pennsylvania,other,1
2021-11-12,-50,California,21I,38
2021-11-23,-39,Pennsylvania,other,4
2021-12-17,-15,New Jersey,21J,121
2021-10-08,-85,Colorado,21A,8
2021-11-17,-45,Kentucky,21J,53
2021-10-09,-84,Oklahoma,21A,1
2021-11-10,-52,Michigan,21J,402
2021-12-13,-19,Kansas,other,1
2021-10-21,-72,Idaho,21J,62
2021-12-17,-15,New York,21J,60
2021-12-05,-27,Iowa,21J,2
2021-10-30,-63,Ohio,21A,3
2021-10-27,-66,Wisconsin,21J,155
2021-12-09,-23,Arizona,21J,104
2021-11-26,-36,New Mexico,21J,108
2021-10-19,-74,New Jersey,21I,1
2021-11-04,-58,Massachusetts,21J,556
2021-11-20,-42,North Carolina,21I,1
2021-12-15,-17,Pennsylvania,21K,42
2021-11-09,-53,California,21I,44
2021-12-19,-13,Washington DC,21K,1
2021-12-14,-18,Wisconsin,21I,1
2021-10-20,-73,West Virginia,21J,99
2021-11-17,-45,Nevada,21J,124
2021-11-14,-48,Ohio,21A,1
2021-12-02,-30,Alabama,21I,1
2021-10-04,-89,Nevada,21A,1
2021-10-07,-86,South Carolina,21J,73
2021-12-17,-15,North Carolina,21J,49
2021-10-04,-89,Mississippi,21J,29
2021-11-11,-51,West Virginia,21J,71
2021-10-31,-62,Washington DC,21J,3
2021-10-27,-66,North Dakota,21I,1
2021-11-22,-40,Vermont,21A,1
2021-10-10,-83,Vermont,21I,3
2021-11-14,-48,Maryland,other,1
2021-10-14,-79,Illinois,21J,199
2021-10-08,-85,New Hampshire,21I,5
2021-11-27,-35,Ohio,21I,2
2021-12-14,-18,New Jersey,21J,82
2021-11-13,-49,Wisconsin,21I,3
2021-10-10,-83,Indiana,21J,96
2021-11-24,-38,Wisconsin,21J,169
2021-11-16,-46,New Jersey,other,2
2021-11-17,-45,Arizona,other,4
2021-11-18,-44,Texas,21J,190
2021-10-28,-65,Massachusetts,21J,482
2021-10-22,-71,Alaska,21I,4
2021-10-16,-77,Montana,21J,6
2021-10-10,-83,Delaware,21J,13
2021-12-14,-18,Michigan,21J,108
2021-10-07,-86,New York,21A,2
2021-12-19,-13,Texas,21K,1
2021-10-21,-72,Hawaii,21I,1
2021-10-19,-74,Indiana,21J,91
2021-10-15,-78,New Mexico,21J,68
2021-10-13,-80,Colorado,21J,217
2021-11-24,-38,West Virginia,21J,50
2021-12-18,-14,West Virginia,21I,1
2021-11-22,-40,New Jersey,21I,4
2021-11-15,-47,New York,other,3
2021-12-04,-28,Illinois,21J,103
2021-10-16,-77,Tennessee,21I,2
2021-10-30,-63,Michigan,21J,218
2021-12-06,-26,New Hampshire,21J,101
2021-11-09,-53,Utah,21I,3
2021-10-11,-82,Arizona,21I,8
2021-12-13,-19,Vermont,21J,2
2021-12-07,-25,Washington,21I,1
2021-10-14,-79,Kentucky,21I,1
2021-10-23,-70,Indiana,21J,81
2021-11-27,-35,Pennsylvania,21J,145
2021-10-28,-65,Washington,21I,9
2021-10-28,-65,California,21A,2
2021-10-09,-84,Illinois,21A,2
2021-11-07,-55,Michigan,other,2
2021-10-07,-86,California,21I,58
2021-10-11,-82,South Dakota,21J,19
2021-11-19,-43,South Carolina,21J,20
2021-10-21,-72,Missouri,21J,37
2021-12-10,-22,North Carolina,21K,7
2021-11-12,-50,New York,21J,146
2021-11-27,-35,New Mexico,21J,74
2021-11-20,-42,Ohio,21I,4
2021-12-22,-10,California,21K,1483
2021-10-24,-69,Wisconsin,21I,8
2021-11-01,-61,Arizona,21J,151
2021-10-30,-63,Indiana,21I,5
2021-10-21,-72,Indiana,21I,7
2021-11-28,-34,North Dakota,21I,1
2021-12-22,-10,Florida,21J,1
